Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore,Action,Adventure,Aniimation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Success
2008,122,5.2,361449,191.45,56,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2016,129,6.5,156567,65.03,46,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,109,7.3,39723,33.31,51,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,144,7.3,76935,52.82,48,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,148,6.8,308981,200.07,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,118,7.9,332476,32.28,76,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,101,7.9,72778,48.02,84,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,126,8,390531,25.56,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2013,102,7.5,451894,400.74,74,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,130,6.5,143069,93.42,60,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,130,7.6,337777,208.54,79,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,107,7,321442,110.42,71,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,134,7.4,137203,102.46,65,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2015,117,7.3,368912,180.19,64,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,118,6.7,43086,24.09,59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015,92,6.8,101781,25.14,83,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2015,105,7,117018,201.15,67,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,124,8,22389,3.4,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,113,6.3,11944,1.72,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,119,6.6,97454,31.06,66,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2011,100,7.8,461509,35.05,78,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,125,6.3,106364,110.01,75,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,133,7.2,27382,12.53,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015,128,8.1,268282,44.99,93,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,92,5.8,22107,3.91,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2011,140,8.2,355722,13.65,71,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,124,6.9,547368,176.64,66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2007,148,8.1,459304,18.35,73,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,114,8.1,532353,91.12,73,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,107,6.3,97082,127.38,52,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,113,7.9,471815,100.19,71,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016,146,6.5,12193,8.1,47,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2016,134,7.3,79855,21.48,58,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008,126,7.9,737719,318.3,79,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016,120,5.7,70504,66,33,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,132,7.8,550011,146.41,65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016,99,7.5,5435,0.51,81,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,118,7.5,26089,2.14,90,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,125,6.8,227912,169.08,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015,114,6.1,161396,155.18,43,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,94,5.3,114290,14.12,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,144,7.1,531112,318.76,61,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2013,112,7,443584,206.36,54,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2016,126,5.5,73568,31.14,25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014,136,7.8,542362,259.75,70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2016,104,5.7,7044,33.04,41,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,117,7.7,456749,48.04,66,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,96,6.7,61098,9.24,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,117,7.1,283445,244.05,73,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,100,6.9,136399,14.67,83,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2011,158,7.8,348551,102.52,71,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2013,110,7,334867,150.37,44,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,163,7,19660,0.66,79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,119,7.1,121313,8.7,82,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,107,6.4,179450,52,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,97,7,268877,241.41,56,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,118,8.2,498879,37.62,98,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2016,95,5.2,3305,0,50,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2006,139,7.8,247926,50.86,68,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,131,7.4,257472,195,75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,114,6.1,66766,47.95,35,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,102,8,377336,17.74,67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,100,6.8,41446,13.96,81,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,85,3.9,4895,2.41,31,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2014,99,8.1,530881,59.07,88,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,125,5.9,96852,26.62,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,134,7.6,332234,85.71,64,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2015,95,8.2,416689,356.45,94,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,90,5.8,1109,9.4,48,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,126,6.5,205365,89.73,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,118,5.9,148949,88.76,47,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,158,7.6,257426,148.78,63,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
2006,109,7.9,382910,35.29,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
